gene	allele	threshold
IGHV3-BKKC	IGHV3-BKKC*04	1e-04
IGHV3-BKKC	IGHV3-BKKC*05	1e-04
IGHV3-BKKC	IGHV3-BKKC*07	1e-04
IGHV3-BKKC	IGHV3-BKKC*08	1e-04
IGHV3-BKKC	IGHV3-BKKC*11	1e-04
IGHV3-BZMP	IGHV3-BZMP*05	1e-04
IGHV3-BZMP	IGHV3-BZMP*08	1e-04
IGHV3-BZMP	IGHV3-BZMP*09	1e-04
IGHV3-C4HU	IGHV3-C4HU*01	1e-04
IGHV3-C4HU	IGHV3-C4HU*04	1e-04
IGHV3-C4HU	IGHV3-C4HU*05	1e-04
IGHV3-DCTO	IGHV3-DCTO*01	1e-04
IGHV3-DCTO	IGHV3-DCTO*04	1e-04
IGHV3-DCTO	IGHV3-DCTO*06	1e-04
IGHV3-DY3H	IGHV3-DY3H*06	1e-04
IGHV3-E6ZX	IGHV3-E6ZX*02	1e-04
IGHV3-GYPG	IGHV3-GYPG*02	1e-04
IGHV3-GYPG	IGHV3-GYPG*14	1e-04
IGHV3-GYPG	IGHV3-GYPG*15	1e-04
IGHV3-GYPG	IGHV3-GYPG*17	1e-04
IGHV3-GYPG	IGHV3-GYPG*18	1e-04
IGHV3-HFYN	IGHV3-HFYN*02	1e-04
IGHV3-HFYN	IGHV3-HFYN*05	1e-04
IGHV3-HFYN	IGHV3-HFYN*07	1e-04
IGHV3-HFYN	IGHV3-HFYN*08	1e-04
IGHV3-HFYN	IGHV3-HFYN*09	1e-04
IGHV3-HFYN	IGHV3-HFYN*10	1e-04
IGHV3-HFYN	IGHV3-HFYN*13	1e-04
IGHV3-HFYN	IGHV3-HFYN*16	1e-04
IGHV3-JRTS	IGHV3-JRTS*01	1e-04
IGHV3-JRTS	IGHV3-JRTS*03	1e-04
IGHV3-JRTS	IGHV3-JRTS*04	1e-04
IGHV3-JRTS	IGHV3-JRTS*05	1e-04
IGHV3-JRTS	IGHV3-JRTS*08	1e-04
IGHV3-JU2I	IGHV3-JU2I*03	1e-04
IGHV3-L7BK	IGHV3-L7BK*03	1e-04
IGHV3-L7BK	IGHV3-L7BK*05	1e-04
IGHV3-L7BK	IGHV3-L7BK*07	1e-04
IGHV3-L7BK	IGHV3-L7BK*10	1e-04
IGHV3-L7BK	IGHV3-L7BK*11	1e-04
IGHV3-L7BK	IGHV3-L7BK*12	1e-04
IGHV3-LT3H	IGHV3-LT3H*01	1e-04
IGHV3-LT3H	IGHV3-LT3H*03	1e-04
IGHV3-LT3H	IGHV3-LT3H*04	1e-04
IGHV3-LT3H	IGHV3-LT3H*05	1e-04
IGHV3-MCXM	IGHV3-MCXM*05	1e-04
IGHV3-MCXM	IGHV3-MCXM*08	1e-04
IGHV3-MEBQ	IGHV3-MEBQ*01	1e-04
IGHV3-MEBQ	IGHV3-MEBQ*03	1e-04
IGHV3-MEBQ	IGHV3-MEBQ*05	1e-04
IGHV3-MEBQ	IGHV3-MEBQ*06	1e-04
IGHV3-MGEX	IGHV3-MGEX*01	1e-04
IGHV3-MGEX	IGHV3-MGEX*04	1e-04
IGHV3-N72G	IGHV3-N72G*01	1e-04
IGHV3-O76Z	IGHV3-O76Z*02	1e-04
IGHV3-OLUF	IGHV3-OLUF*01	1e-04
IGHV3-OLUF	IGHV3-OLUF*02	1e-04
IGHV3-OLUF	IGHV3-OLUF*03	1e-04
IGHV3-OLUF	IGHV3-OLUF*04	1e-04
IGHV3-OLUF	IGHV3-OLUF*05	1e-04
IGHV3-OLUF	IGHV3-OLUF*06	1e-04
IGHV3-OLUF	IGHV3-OLUF*07	1e-04
IGHV3-OLUF	IGHV3-OLUF*08	1e-04
IGHV3-PHO7	IGHV3-PHO7*03	1e-04
IGHV3-PHO7	IGHV3-PHO7*04	1e-04
IGHV3-PJYR	IGHV3-PJYR*01	1e-04
IGHV3-PRG6	IGHV3-PRG6*01	1e-04
IGHV3-PRG6	IGHV3-PRG6*02	1e-04
IGHV3-PTFK	IGHV3-PTFK*02	1e-04
IGHV3-PTFK	IGHV3-PTFK*03	1e-04
IGHV3-PTFK	IGHV3-PTFK*05	1e-04
IGHV3-R7MJ	IGHV3-R7MJ*04	1e-04
IGHV3-R7MJ	IGHV3-R7MJ*07	1e-04
IGHV3-RRYX	IGHV3-RRYX*01	1e-04
IGHV3-RRYX	IGHV3-RRYX*02	1e-04
IGHV3-RRYX	IGHV3-RRYX*04	1e-04
IGHV3-RRYX	IGHV3-RRYX*05	1e-04
IGHV3-RRYX	IGHV3-RRYX*08	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*01	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*02	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*05	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*06	1e-04
IGHV3-RSQ5	IGHV3-RSQ5*07	1e-04
IGHV3-SOZS	IGHV3-SOZS*01	1e-04
IGHV3-SOZS	IGHV3-SOZS*02	1e-04
IGHV3-SOZS	IGHV3-SOZS*03	1e-04
IGHV3-WOIZ	IGHV3-WOIZ*02	1e-04
IGHV3-WPIB	IGHV3-WPIB*01	1e-04
IGHV3-X5LH	IGHV3-X5LH*01	1e-04
IGHV3-X5LH	IGHV3-X5LH*06	1e-04
IGHV3-X5LH	IGHV3-X5LH*08	1e-04
IGHV3-X5LH	IGHV3-X5LH*11	1e-04
IGHV3-X5LH	IGHV3-X5LH*12	1e-04
IGHV3-X5LH	IGHV3-X5LH*13	1e-04
IGHV3-X5LH	IGHV3-X5LH*14	1e-04
IGHV3-X5LH	IGHV3-X5LH*15	1e-04
IGHV3-X5LH	IGHV3-X5LH*16	1e-04
IGHV3-ZJGS	IGHV3-ZJGS*01	1e-04
IGHV4-2QEK	IGHV4-2QEK*02/IGHV4-2QEK*05	1e-04
IGHV4-4GQY	IGHV4-4GQY*01	1e-04
IGHV4-4GQY	IGHV4-4GQY*02	1e-04
IGHV4-4GQY	IGHV4-4GQY*05	1e-04
IGHV4-4M7V	IGHV4-4M7V*01	1e-04
IGHV4-4M7V	IGHV4-4M7V*02	1e-04
IGHV4-4M7V	IGHV4-4M7V*03	1e-04
IGHV4-4M7V	IGHV4-4M7V*06	1e-04
IGHV4-4M7V	IGHV4-4M7V*07	1e-04
IGHV4-4M7V	IGHV4-4M7V*08	1e-04
IGHV4-4M7V	IGHV4-4M7V*09	1e-04
IGHV4-4M7V	IGHV4-4M7V*10	1e-04
IGHV4-4M7V	IGHV4-4M7V*12	1e-04
IGHV4-4MLZ	IGHV4-4MLZ*09	1e-04
IGHV4-4MLZ	IGHV4-4MLZ*10	1e-04
IGHV4-4MLZ	IGHV4-4MLZ*13	1e-04
IGHV4-4MLZ	IGHV4-4MLZ*16	1e-04
IGHV4-4NGE	IGHV4-4NGE*07	1e-04
IGHV4-4NGE	IGHV4-4NGE*09	1e-04
IGHV4-4NGE	IGHV4-4NGE*10	1e-04
IGHV4-4NGE	IGHV4-4NGE*11	1e-04
IGHV4-4V2C	IGHV4-4V2C*01	1e-04
IGHV4-4V2C	IGHV4-4V2C*04	1e-04
IGHV4-5ARF	IGHV4-5ARF*01	1e-04
IGHV4-5ARF	IGHV4-5ARF*02	1e-04
IGHV4-5ARF	IGHV4-5ARF*06	1e-04
IGHV4-5ARF	IGHV4-5ARF*07	1e-04
IGHV4-5ARF	IGHV4-5ARF*08	1e-04
IGHV4-5ARF	IGHV4-5ARF*09	1e-04
IGHV4-5ARF	IGHV4-5ARF*10	1e-04
IGHV4-5ARF	IGHV4-5ARF*15/IGHV4-5ARF*18	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*01	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*02	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*03	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*05	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*06	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*07	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*17	1e-04
IGHV4-5WKJ	IGHV4-5WKJ*18	1e-04
IGHV4-64DR	IGHV4-64DR*01	1e-04
IGHV4-64DR	IGHV4-64DR*02	1e-04
IGHV4-64DR	IGHV4-64DR*04	1e-04
IGHV4-64DR	IGHV4-64DR*08	1e-04
IGHV4-64DR	IGHV4-64DR*14	1e-04
IGHV4-64DR	IGHV4-64DR*15	1e-04
IGHV4-6KBL	IGHV4-6KBL*01	1e-04
IGHV4-6KBL	IGHV4-6KBL*02	1e-04
IGHV4-6KBL	IGHV4-6KBL*03	1e-04
IGHV4-6KBL	IGHV4-6KBL*04	1e-04
IGHV4-6LZZ	IGHV4-6LZZ*01	1e-04
IGHV4-7BJU	IGHV4-7BJU*01	1e-04
IGHV4-7PM2	IGHV4-7PM2*01	1e-04
IGHV4-7PM2	IGHV4-7PM2*03	1e-04
IGHV4-7PM2	IGHV4-7PM2*06	1e-04
IGHV4-7PM2	IGHV4-7PM2*07	1e-04
IGHV4-7PM2	IGHV4-7PM2*09	1e-04
IGHV4-7PM2	IGHV4-7PM2*14	1e-04
IGHV4-AATP	IGHV4-AATP*02	1e-04
IGHV4-AATP	IGHV4-AATP*06/IGHV4-AATP*09	1e-04
IGHV4-AMYK	IGHV4-AMYK*02	1e-04
IGHV4-AMYK	IGHV4-AMYK*03	1e-04
IGHV4-AMYK	IGHV4-AMYK*04	1e-04
IGHV4-AMYK	IGHV4-AMYK*06	1e-04
IGHV4-BQLH	IGHV4-BQLH*02	1e-04
IGHV4-BQLH	IGHV4-BQLH*03	1e-04
IGHV4-BQLH	IGHV4-BQLH*04	1e-04
IGHV4-CCOK	IGHV4-CCOK*01	1e-04
IGHV4-CCOK	IGHV4-CCOK*04	1e-04
IGHV4-CCOK	IGHV4-CCOK*07	1e-04
IGHV4-CCOK	IGHV4-CCOK*08	1e-04
IGHV4-DJPP	IGHV4-DJPP*01	1e-04
IGHV4-DJPP	IGHV4-DJPP*02	1e-04
IGHV4-DJPP	IGHV4-DJPP*04	1e-04
IGHV4-DJPP	IGHV4-DJPP*05	1e-04
IGHV4-DJPP	IGHV4-DJPP*07	1e-04
IGHV4-DJPP	IGHV4-DJPP*08	1e-04
IGHV4-DXH5	IGHV4-DXH5*04	1e-04
IGHV4-E2ZN	IGHV4-E2ZN*01	1e-04
IGHV4-E2ZN	IGHV4-E2ZN*02	1e-04
IGHV4-EAIX	IGHV4-EAIX*01	1e-04
IGHV4-EAIX	IGHV4-EAIX*02	1e-04
IGHV4-EAIX	IGHV4-EAIX*04	1e-04
IGHV4-EAIX	IGHV4-EAIX*09	1e-04
IGHV4-EAIX	IGHV4-EAIX*10	1e-04
IGHV4-EITI	IGHV4-EITI*14	1e-04
IGHV4-EITI	IGHV4-EITI*16	1e-04
IGHV4-FAZN	IGHV4-FAZN*05	1e-04
IGHV4-FAZN	IGHV4-FAZN*06	1e-04
IGHV4-FAZN	IGHV4-FAZN*09	1e-04
IGHV4-FAZN	IGHV4-FAZN*10/IGHV4-FAZN*15	1e-04
IGHV4-FAZN	IGHV4-FAZN*11	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*01	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*05	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*08	1e-04
IGHV4-HDAZ	IGHV4-HDAZ*09	1e-04
IGHV4-HHZI	IGHV4-HHZI*01	1e-04
IGHV4-HHZI	IGHV4-HHZI*02	1e-04
IGHV4-HNNT	IGHV4-HNNT*01	1e-04
IGHV4-HZTT	IGHV4-HZTT*01	1e-04
IGHV4-HZTT	IGHV4-HZTT*02	1e-04
IGHV4-HZTT	IGHV4-HZTT*03	1e-04
IGHV4-I3XU	IGHV4-I3XU*01	1e-04
IGHV4-I3XU	IGHV4-I3XU*02	1e-04
IGHV4-JA6D	IGHV4-JA6D*08	1e-04
IGHV4-JA6D	IGHV4-JA6D*12	1e-04
IGHV4-JA6D	IGHV4-JA6D*21	1e-04
IGHV4-JJNU	IGHV4-JJNU*02	1e-04
IGHV4-JJNU	IGHV4-JJNU*03	1e-04
IGHV4-JZNW	IGHV4-JZNW*01	1e-04
IGHV4-JZNW	IGHV4-JZNW*02	1e-04
IGHV4-JZNW	IGHV4-JZNW*03	1e-04
IGHV4-JZNW	IGHV4-JZNW*04	1e-04
IGHV4-JZNW	IGHV4-JZNW*06	1e-04
IGHV4-JZNW	IGHV4-JZNW*07	1e-04
IGHV4-JZNW	IGHV4-JZNW*08	1e-04
IGHV4-JZNW	IGHV4-JZNW*12	1e-04
IGHV4-JZNW	IGHV4-JZNW*13	1e-04
IGHV4-JZNW	IGHV4-JZNW*15	1e-04
IGHV4-JZNW	IGHV4-JZNW*16	1e-04
IGHV4-KG56	IGHV4-KG56*01	1e-04
IGHV4-MLR2	IGHV4-MLR2*01	1e-04
IGHV4-MLR2	IGHV4-MLR2*02	1e-04
IGHV4-MLR2	IGHV4-MLR2*03	1e-04
IGHV4-MYX4	IGHV4-MYX4*01	1e-04
IGHV4-MYX4	IGHV4-MYX4*03	1e-04
IGHV4-MYX4	IGHV4-MYX4*04	1e-04
IGHV4-N2SB	IGHV4-N2SB*02	1e-04
IGHV4-NBRY	IGHV4-NBRY*01	1e-04
IGHV4-NBRY	IGHV4-NBRY*02	1e-04
IGHV4-NFRM	IGHV4-NFRM*01	1e-04
IGHV4-NFRM	IGHV4-NFRM*02	1e-04
IGHV4-NFRM	IGHV4-NFRM*05	1e-04
IGHV4-NFRM	IGHV4-NFRM*07	1e-04
IGHV4-NFRM	IGHV4-NFRM*08	1e-04
IGHV4-NFRM	IGHV4-NFRM*10	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*03	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*05	1e-04
IGHV4-NZ7A	IGHV4-NZ7A*09	1e-04
IGHV4-U2RC	IGHV4-U2RC*01	1e-04
IGHV4-U2RC	IGHV4-U2RC*03	1e-04
IGHV4-U2RC	IGHV4-U2RC*06	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*01	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*02	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*03	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*04	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*06	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*07	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*10	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*11	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*12	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*13	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*14	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*17	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*20	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*21	1e-04
IGHV4-VX5Q	IGHV4-VX5Q*25	1e-04
IGHV4-XTDW	IGHV4-XTDW*01/IGHV4-XTDW*16	1e-04
IGHV4-XTDW	IGHV4-XTDW*04	1e-04
IGHV4-XTDW	IGHV4-XTDW*07	1e-04
IGHV4-XTDW	IGHV4-XTDW*08	1e-04
IGHV4-XTDW	IGHV4-XTDW*10	1e-04
IGHV4-XTDW	IGHV4-XTDW*11	1e-04
IGHV4-XTDW	IGHV4-XTDW*13	1e-04
IGHV4-XTDW	IGHV4-XTDW*15	1e-04
IGHV4-Y4BX	IGHV4-Y4BX*01	1e-04
IGHV4-Y4BX	IGHV4-Y4BX*02	1e-04
IGHV4-Y4BX	IGHV4-Y4BX*03	1e-04
IGHV4-Y4BX	IGHV4-Y4BX*04	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*01	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*03	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*06	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*07	1e-04
IGHV4-Y4FC	IGHV4-Y4FC*08	1e-04
IGHV4-YE26	IGHV4-YE26*01	1e-04
IGHV4-YE26	IGHV4-YE26*04	1e-04
IGHV4-YE26	IGHV4-YE26*06	1e-04
IGHV4-YE26	IGHV4-YE26*07	1e-04
IGHV4-YE26	IGHV4-YE26*09	1e-04
IGHV4-YE26	IGHV4-YE26*13	1e-04
IGHV4-YE26	IGHV4-YE26*16	1e-04
IGHV4-ZNL3	IGHV4-ZNL3*01	1e-04
IGHV4-ZNL3	IGHV4-ZNL3*02	1e-04
IGHV5-2DZZ	IGHV5-2DZZ*01	1e-04
IGHV5-2GFF	IGHV5-2GFF*03	1e-04
IGHV5-2GFF	IGHV5-2GFF*08	1e-04
IGHV5-2GFF	IGHV5-2GFF*09	1e-04
IGHV5-2GFF	IGHV5-2GFF*10	1e-04
IGHV5-2GFF	IGHV5-2GFF*11	1e-04
IGHV5-2GFF	IGHV5-2GFF*13	1e-04
IGHV5-D2NK	IGHV5-D2NK*01	1e-04
IGHV5-D2NK	IGHV5-D2NK*02	1e-04
IGHV5-D2NK	IGHV5-D2NK*08	1e-04
IGHV5-D2NK	IGHV5-D2NK*11	1e-04
IGHV5-D2NK	IGHV5-D2NK*13	1e-04
IGHV5-T2J5	IGHV5-T2J5*01	1e-04
IGHV5-T2J5	IGHV5-T2J5*02	1e-04
IGHV6-UXXO	IGHV6-UXXO*03	1e-04
IGHV7-75KG	IGHV7-75KG*03	1e-04
IGHV7-75KG	IGHV7-75KG*06	1e-04
IGHV7-S2SK	IGHV7-S2SK*01	1e-04
IGHV7-S2SK	IGHV7-S2SK*03	1e-04
IGHV7-S2SK	IGHV7-S2SK*04	1e-04
IGHV7-S2SK	IGHV7-S2SK*07	1e-04
IGHV7-S2SK	IGHV7-S2SK*08	1e-04
IGHV7-S2SK	IGHV7-S2SK*10	1e-04
IGHV7-S2SK	IGHV7-S2SK*11	1e-04
IGHV7-S2SK	IGHV7-S2SK*12	1e-04
IGHV7-S2SK	IGHV7-S2SK*14	1e-04
IGHV8-4KLO	IGHV8-4KLO*01	1e-04
IGHV8-4KLO	IGHV8-4KLO*02	1e-04
IGHV8-4SV6	IGHV8-4SV6*01	1e-04
IGHV8-4SV6	IGHV8-4SV6*02	1e-04
IGHV8-4SV6	IGHV8-4SV6*03	1e-04
IGHV8-4SV6	IGHV8-4SV6*06	1e-04
IGHV8-4SV6	IGHV8-4SV6*07	1e-04
IGHV8-4SV6	IGHV8-4SV6*08	1e-04
IGHV8-4WHC	IGHV8-4WHC*01	1e-04
IGHV8-4WHC	IGHV8-4WHC*04	1e-04
IGHV8-4WHC	IGHV8-4WHC*05	1e-04
IGHV8-4WHC	IGHV8-4WHC*12	1e-04
IGHV8-4WHC	IGHV8-4WHC*15	1e-04
IGHV8-4WHC	IGHV8-4WHC*17	1e-04
IGHV8-65SO	IGHV8-65SO*01	1e-04
IGHV8-65SO	IGHV8-65SO*03	1e-04
IGHV8-65SO	IGHV8-65SO*05	1e-04
IGHV8-65SO	IGHV8-65SO*09	1e-04
IGHV8-65SO	IGHV8-65SO*12	1e-04
IGHV8-65SO	IGHV8-65SO*14	1e-04
IGHV8-65SO	IGHV8-65SO*16	1e-04
IGHV8-6R7J	IGHV8-6R7J*01	1e-04
IGHV8-6R7J	IGHV8-6R7J*02	1e-04
IGHV8-6R7J	IGHV8-6R7J*03	1e-04
IGHV8-6R7J	IGHV8-6R7J*04	1e-04
IGHV8-6R7J	IGHV8-6R7J*05	1e-04
IGHV8-6TUE	IGHV8-6TUE*03	1e-04
IGHV8-6TUE	IGHV8-6TUE*05	1e-04
IGHV8-6TUE	IGHV8-6TUE*06	1e-04
IGHV8-6TUE	IGHV8-6TUE*09	1e-04
IGHV8-AHTF	IGHV8-AHTF*02	1e-04
IGHV8-AHTF	IGHV8-AHTF*04	1e-04
IGHV8-AHTF	IGHV8-AHTF*05	1e-04
IGHV8-AHTF	IGHV8-AHTF*06	1e-04
IGHV8-AHTF	IGHV8-AHTF*10	1e-04
IGHV8-DH64	IGHV8-DH64*02	1e-04
IGHV8-DH64	IGHV8-DH64*03	1e-04
IGHV8-DH64	IGHV8-DH64*05	1e-04
IGHV8-DH64	IGHV8-DH64*07	1e-04
IGHV8-DH64	IGHV8-DH64*10	1e-04
IGHV8-GESA	IGHV8-GESA*01	1e-04
IGHV8-GESA	IGHV8-GESA*02	1e-04
IGHV8-GESA	IGHV8-GESA*03	1e-04
IGHV8-GESA	IGHV8-GESA*07	1e-04
IGHV8-GESA	IGHV8-GESA*08	1e-04
IGHV8-GESA	IGHV8-GESA*10	1e-04
IGHV8-GESA	IGHV8-GESA*12	1e-04
IGHV8-GESA	IGHV8-GESA*14	1e-04
IGHV8-GESA	IGHV8-GESA*16	1e-04
IGHV8-GESA	IGHV8-GESA*17	1e-04
IGHV8-GESA	IGHV8-GESA*18	1e-04
IGHV8-GESA	IGHV8-GESA*19	1e-04
IGHV8-GESA	IGHV8-GESA*20	1e-04
IGHV8-GKLX	IGHV8-GKLX*01	1e-04
IGHV8-MBLR	IGHV8-MBLR*01	1e-04
IGHV8-MBLR	IGHV8-MBLR*03	1e-04
IGHV8-MBLR	IGHV8-MBLR*05	1e-04
IGHV8-MBLR	IGHV8-MBLR*06	1e-04
IGHV8-NEPN	IGHV8-NEPN*01	1e-04
IGHV8-NEPN	IGHV8-NEPN*02	1e-04
IGHV8-PWAC	IGHV8-PWAC*01	1e-04
IGHV8-PWAC	IGHV8-PWAC*03	1e-04
IGHV8-PWAC	IGHV8-PWAC*04	1e-04
IGHV8-QBAS	IGHV8-QBAS*02	1e-04
IGHV8-QBAS	IGHV8-QBAS*03	1e-04
IGHV8-QBAS	IGHV8-QBAS*04	1e-04
IGHV8-QBAS	IGHV8-QBAS*05	1e-04
IGHV8-RZNS	IGHV8-RZNS*03	1e-04
IGHV8-RZNS	IGHV8-RZNS*05	1e-04
IGHV8-RZNS	IGHV8-RZNS*06	1e-04
IGHV8-RZNS	IGHV8-RZNS*08	1e-04
IGHV8-RZNS	IGHV8-RZNS*09	1e-04
IGHV8-RZNS	IGHV8-RZNS*10	1e-04
IGHV8-RZNS	IGHV8-RZNS*16	1e-04
IGHV8-WAVT	IGHV8-WAVT*02	1e-04
IGHV8-WAVT	IGHV8-WAVT*08	1e-04
IGHV8-YMST	IGHV8-YMST*01	1e-04
IGHV8-YMST	IGHV8-YMST*02	1e-04
IGHV8-YMST	IGHV8-YMST*03	1e-04
IGHJ1-PVVP	IGHJ1-PVVP*01	0.001
IGHJ1-PVVP	IGHJ1-PVVP*02	0.001
IGHJ2-DDLH	IGHJ2-DDLH*01	0.001
IGHJ2-DDLH	IGHJ2-DDLH*02	0.001
IGHJ3-XRNC	IGHJ3-XRNC*01	0.001
IGHJ4-JSJ6	IGHJ4-JSJ6*01	0.001
IGHJ4-JSJ6	IGHJ4-JSJ6*02	0.02
IGHJ5-MIQL	IGHJ5-MIQL*02	0.002
IGHJ5-MIQL	IGHJ5-MIQL*03	0.003
IGHJ5-XD6S	IGHJ5-XD6S*03	0.001
IGHJ6-GAIV	IGHJ6-GAIV*01	0.001
IGHJ5-MIQL	IGHJ5-MIQL*01	0.001
IGHJ5-XD6S	IGHJ5-XD6S*01	0.001
IGHJ6-GAIV	IGHJ6-GAIV*02	0.001
IGHJ5-XD6S	IGHJ5-XD6S*02	0.001
